Date,time,drone,flight_number,height,temperature,windspeed,first_last ,wind_direction ,target,duration_of_look_Caliban,number_of_look_Caliban,duration_of_submerge_Caliban ,duration_of_look_Cooper,number_of_look_Cooper,duration_of_submerge_Cooper,duration_of_look_Bailey,number_of_look_Bailey,duration_of_submerge_Bailey,duration_of_look_Reef,number_of_look_Reef,duration_of_submerge_Reef,duration_of_look_Ely,number_of_look_Ely,duration_of_submerge_Ely_,duration_of_look_Juniper,number_of_look_juniper,duration_of_submerge_Juniper,duration_of_look_Brighton,number_of_look_Brighton,duration_of_submerge_Brighton_,duration_of_look_Hinson,number_of_look_hinson_,duration_of_submerge_Hinson_,duration_of_look_Marley,number_of_look_Marley,duration_of_submerge_Marley,duration_of_look_Devon,number_of_look_devon,duration_of_submerge_Devon,duration_of_look_Cirrus,number_of_look_Cirrus,duration_of_submerge_Cirrus
3/6/2022,12:00,Mini 2,1,200,65,12,1,West,Bailey,0,0,10,0,0,10,0,0,9.4,0,0,10,0,0,10,0,0,8.01,0,0,10,1.55,1,10,0,0,9.55,0,0,8.56,0,0,10
3/6/2022,12:00,Mini 2,1,190,65,12,1,West,Bailey,0,0,9.8,0,0,10,0,0,10,0,0,10,0,0,10,7.25,1,8.23,0,0,10,4.73,1,8.68,0,0,10,0,0,10,0,0,7.13
3/6/2022,12:00,Mini 2,1,180,65,12,1,West,Bailey,0,0,9.7,0,0,10,0,0,9.6,0,0,10,0,0,9.55,0,0,10,0,0,10,0,0,10,0,0,9.06,0,0,10,0,0,10
3/6/2022,12:00,Mini 2,1,170,65,12,1,West,Bailey,2.2,1,1.78,5.74,1,8.83,0,0,10,2.46,1,7.55,0,0,8.49,0,0,6.99,0,0,7.1,0,0,9.59,0,0,9.93,0,0,10,0,0,10
3/6/2022,12:00,Mini 2,1,160,65,12,1,West,Bailey,0,0,10,0,0,10,0,0,9.3,0,0,9.29,2.03,1,4.63,0,0,7.99,0,0,10,0,0,68.86,0,0,10,0,0,8.46,0,0,10
3/6/2022,12:00,Mini 2,1,150,65,12,1,West,Bailey,0,0,6.8,6.7,1,7.64,0,0,8.63,0,0,10,0,0,10,0,0,8.53,0,0,10,0,0,10,0,0,10,0,0,10,0,0,2.41
3/6/2022,12:00,Mini 2,1,140,65,12,1,West,Bailey,0,0,10,0,0,10,0,0,10,0,0,9.76,0,0,8.1,0,0,8.99,0,0,9.01,0,0,10,0,0,10,0,0,7.61,0,0,8.41
3/6/2022,12:00,Mini 2,1,130,65,12,1,West,Bailey,0,0,10,0,0,10,0,0,10,1.55,1,10,0,0,10,0,0,8.1,0,0,10,0,0,10,0,0,10,0,0,10,0,0,8.41
3/6/2022,12:00,Mini 2,1,120,65,12,1,West,Bailey,0,0,2.8,0,0,7.05,0,0,9.26,0,0,6.95,0,0,10,0,0,10,0,0,9.1,0,0,7.52,0,0,10,0,0,8.61,0,0,10
3/6/2022,12:00,Mini 2,1,110,65,12,1,West,Bailey,0,0,8.81,0,0,7.81,0,0,9.2,0,0,10,0,0,9.85,0,0,9.46,0,0,8.86,0,0,7.76,0,0,10,0,0,9.8,0,0,6.74
3/6/2022,12:00,Mini 2,1,100,65,12,1,West,Bailey,0,0,10,0,0,10,0,0,5.83,3.6,1,7.99,0,0,8.96,0,0,10,0,0,8.68,0,0,10,0,0,9.1,0,0,10,0,0,10
3/6/2022,12:00,Mini 2,1,90,65,12,1,West,Bailey,0,0,10,0,0,10,5.52,1,9.08,0,0,10,0,0,8.75,0,0,9.66,0,0,8.92,0,0,8.7,2.38,1,4.48,8.45,1,4.16,0,0,7.89
3/6/2022,12:00,Mini 2,1,80,65,12,1,West,Bailey,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,9.01,0,0,8.35,0,0,10
3/6/2022,12:00,Mini 2,1,70,65,12,1,West,Bailey,,,,,,,0,0,9.2,2.56,1,8.77,,,,,,,,,,,,,0,0,10,0,0,9.64,,,
3/6/2022,12:00,Mini 2,1,60,65,12,1,West,Bailey,,,,,,,0,0,10,0,0,10,,,,,,,,,,,,,0,0,10,0,0,9.88,,,
3/6/2022,12:00,Mini 2,1,50,65,12,1,West,Bailey,,,,,,,0,0,10,0,0,10,,,,,,,,,,,,,0,0,10,0,0,10,,,
3/6/2022,12:00,Mini 2,1,40,65,12,1,West,Bailey,,,,,,,0,0,10,0,0,10,,,,,,,,,,,,,0,0,10,0,0,10,,,
3/7/2022,7:00,Enterprise ,1,200,67,8,1,North ,Caliban ,0,0,9.07,1.51,1,10,0,0,10,0,0,10,0,0,8.6,2.5,1,7.2,0,0,10,0,0,9.31,2.61,1,10,0,0,10,0,0,0
3/7/2022,7:00,Enterprise ,1,190,67,8,1,North ,Caliban ,6.85,1,10,0,0,10,6.04,1,7.65,0,0,10,0,0,9.18,3.88,1,7.55,5.85,1,10,6.79,2,6.81,0,0,10,0,0,7.78,0,0,0
3/7/2022,7:00,Enterprise ,1,180,67,8,1,North ,Caliban ,0,0,7.8,0,0,8.81,0,0,10,1.81,1,8.35,0,0,9.2,1.15,1,8.18,0,0,10,0,0,9.9,0,0,10,0,0,10,0,0,0
3/7/2022,7:00,Enterprise ,1,170,67,8,1,North ,Caliban ,0,0,10,0,0,10,0,0,10,,0,9.76,0,0,10,0,0,10,5.46,1,10,0,0,8.98,0,0,10,0,0,10,0,0,0
3/7/2022,7:00,Enterprise ,1,160,67,8,1,North ,Caliban ,3.31,1,10,1.8,1,10,0,0,10,1.7,1,8.5,4.61,1,0.53,13.34,2,0,4.66,1,7.9,4.03,1,10,4.86,1,10,8.08,1,9.89,1.18,1,0
3/7/2022,7:00,Enterprise ,1,150,67,8,1,North ,Caliban ,1.78,1,10,2.68,1,10,0,0,10,1.1,1,10,0,0,9.11,8.61,2,0,4.96,2,7.58,3.38,1,4.63,0,0,10,0,0,9.3,0,0,10
3/7/2022,7:00,Enterprise ,1,140,67,8,1,North ,Caliban ,2.25,1,10,1.58,1,10,0,0,10,0,0,10,14.82,2,10,0,0,10,4.32,1,9.16,0,0,3.4,15.1,2,9.1,0,0,10,0,0,10
3/7/2022,16:45,Mini 2,2,200,68,8,,North,Reef,0,0,10,0,0,10,0,0,9.51,0,0,10,4.18,1,10,4.19,1,5.61,0,0,0,0,0,9.1,0,0,10,0,0,10,0,0,10
3/7/2022,16:45,Mini 2,2,190,68,8,,North,Reef,0,0,10,0.63,1,10,0,0,9.48,0,0,10,0.88,1,10,0,0,10,0,0,0,0,0,6,0,0,8.23,0,0,10,0.86,1,10
3/7/2022,16:45,Mini 2,2,180,68,8,,North,Reef,1.18,1,10,0,0,4,0,0,7.96,0,0,10,0,0,8.35,0,0,6.15,0,0,6.86,0,0,5.63,0,0,10,0,0,7.8,0,0,10
3/7/2022,16:45,Mini 2,2,170,68,8,,North,Reef,5.77,1,10,0,0,10,0,0,8.9,0,0,9.89,0,0,8.01,5.11,1,8.5,6.35,2,3.78,3.71,1,8.99,0,0,8,0,0,7.45,0,0,10
3/7/2022,16:45,Mini 2,2,160,68,8,,North,Reef,10.2,1,10,0,0,10,0,0,9.11,0,0,9.7,0,0,9.08,0,0,10,0,0,10,0,0,3.59,2.09,1,10,0,0,10,0,0,9.1
3/7/2022,16:45,Mini 2,2,150,68,8,,North,Reef,0,0,10,0,0,10,0,0,10,0,0,10,4.61,1,10,0,0,4.3,0,0,10,0,0,8.73,0,0,7.05,0,0,3.4,1.32,1,8.23
3/7/2022,16:45,Mini 2,2,140,68,8,,North,Reef,0,0,6.73,0,0,7.14,0,0,8.63,0,0,10,0,0,8.63,1.83,1,10,0,0,6.48,0,0,7.06,0,0,6.45,0,0,6.73,0,0,10
3/7/2022,16:45,Mini 2,2,130,68,8,,North,Reef,0.93,1,10,0,0,10,0,0,8.41,0.18,1,9.24,0,0,10,10.31,1,10,2.46,1,10,0,0,10,0,0,9.05,2.59,1,10,4.01,1,9.8
3/7/2022,16:45,Mini 2,2,120,68,8,,North,Reef,0,0,10,0,0,1.83,0,0,9.66,0,0,8.6,5.26,1,5.51,4.93,1,6.1,0,0,6.88,0,0,8.13,0,0,10,0,0,9.23,0,0,10
3/7/2022,16:45,Mini 2,2,110,68,8,,North,Reef,0,0,10,3.28,1,10,0,0,10,0,0,8.39,0,0,10,7.38,1,10,0,0,10,0,0,7.25,3.33,1,1.25,0,0,10,0,0,10
3/7/2022,16:45,Mini 2,2,100,68,8,,North,Reef,2.9,1,10,0,0,10,0,0,9.12,0,0,7.5,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10
3/7/2022,16:45,Mini 2,2,90,68,8,,North,Reef,1.35,1,9.5,0,0,8.84,0,0,10,0,0,10,0,0,10,1.44,1,10,0,0,10,0,0,10,0,0,7.4,0.84,1,10,0,0,10
3/7/2022,16:45,Mini 2,2,80,68,8,,North,Reef,0,0,10,0,0,7.85,0,0,9.06,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0,0,8.33,0,0,10,0,0,9.18
3/7/2022,16:45,Mini 2,2,70,68,8,,North,Reef,NA,,,,,,0,0,9.23,0,0,10,0,0,10,3.63,1,10,,,,,,,0,0,10,0,0,8.15,0,0,10
